likes;retweets;replys;text
254;146;0;"Unsere Regierung ist auf das #Coronavirus bestens vorbereitet, vor allem auf böse Corona-Nazis, die Infizierte ausgrenzen wollen.
https://t.co/QK8WGoObYr"
0;0;1;@kafuka2010 @japonistan @Kino_Toshiki 人間の尊厳のために排外主義は擁護すべき。自然に備わった最も古くからある本能。
0;73;0;"Jemand:
""Du bist so ein Konsumopfer!""

Ich:
""Finde ich nicht!""

Klopapier mit Lama-Motiv:
""Finde ich schon!"""
0;0;1;"Mit ihrem Bekenntnis zu @RT_Erdogan muss das @DFB_Team nun @MesutOzil1088 und @IlkayGuendogan ausschließen! Wir haben in #Deutschland keinen Platz für #Faschismus und #Islamismus!

#DFB #OEzil #guendoğan #Erdogan #Tuerkei #Diktatur"
0;95;0;"😉  😉    D e r   M a n   w e i ß   s i c h   z u   h e l f e n ❗️   😉  😉

🤣🤣🤣🤣   Sein Tontauben-Wurfgerät ist kaputt.     🤣🤣🤣🤣 https://t.co/7kcDyTqsMb"
14;5;0;"Relektüre: Wolfgang Schivelbusch, »Die Kultur der Niederlage« über Robert E. Lee als Opferlamm &amp; Integrationsfigur. https://t.co/WpMfZB2TrQ"
35;29;0;"Die frühere CDU-Abgeordnete Erika Steinbach unterstützt offenbar die AfD im Bundestagswahlkampf.
https://t.co/OuzEaDG0pe https://t.co/UgOjn8MKyw"
3;0;0;"@maischberger @RogerKoeppel Endlich sagt mal einer, wie es wirklich mit den deutschen ""Medien"" ausschaut !!!"
9;12;0;Ich habe ja normalerweise meine Limits, was für Verschwörungstheorien und Schmutzwerfnummern ich hier bringe, ... http://t.co/Ke7X0ACd15
938;424;0;"Bitte mitmachen+RT

Mein Kumpel hat jetzt all seine #Groenemeyer LP`s bei E-Bay an Linke verhökert.. und das Geld der AfD gespendet. 👍😂 (gerade auf Facebook gefunden)"
2780;692;0;Anders als Merkel, die Große Vorsitzende, deren Erfindung AKK ja ist, hat letztere wengistens den Anstand zurückzutreten. AKKs Scheitern ist übrigens auch das Scheitern von Merkels Favoritin und damit auch Merkels Scheitern. Nur wird das wohl wieder geflissentlich übersehen.
0;0;0;"Die Attacke in #Brüssel wird die Freude bei der @cducsubt und @petertauber doch sicher nicht schmälern.
#Türkei #Erdogan #CSU #SPD #CDU https://t.co/xfFfeDtogV"
3;4;0;Mann ist das spannend! In einer Stunde gibt es einen historischen Moment - den Einzug der #AfD ins deu. Parlament. Gegen Islamisierung.
7219;2036;0;"Ich wollte heute wissen: Warum ist die CDU-Vorsitzende AKK bei teils geheimen Sitzungen (zB ""Morgenlage"") im Kanzleramt dabei? Was berechtigt sie dazu, wenn nur ""berechtigte"" Personen daran teilnehmen dürfen? Herr Seibert tat sein Bestes nicht für Transparenz zu sorgen... https://t.co/cjbrBmbRRo"
1067;816;0;"Das saudische Regime hat vor, Loujain Alhathloul, eine Frauenrechtsaktivisitin aus Saudi Arabien, in den kommenden Tagen hinzurichten. Für Pseudofeministinnen, die sich für das Kinderkopftuch einsetzen, ist sie &amp; ihr Schicksal natürlich kein Thema, das wäre nämlich ""islamophob"". https://t.co/9NIAsfZLC4"
930;307;0;"Eigentlich könnte Coronavirus die Stunde der AfD sein, wenn sie jetzt jegliche Polemik beiseite lässt.

Internetseiten mit Infos, klare Forderungen an die Regierung, Handlungsvorschläge.

Kaum eine Partei hat mehr studierte Politiker mit 'richtigen' Berufen. Zeigt, was Ihr könnt."
0;1;9;@twenty9ten @Katarin85654347 @tagesschau https://t.co/ZRSFJKYrjL
0;0;0;Aufruf zu eigenmÃÂ¤chtiger Aufnahme von Migranten ist verantwortungslos - https://t.co/Zooemu2Td1
0;0;0;@BILD Die grössten Hacker in dieser Welt sind und bleiben CIA, NSA, MI6, der chinesische Militärnachrichtendienst Zhong Chan Er Gu
572;201;0;"Statt klare Ansage: Kommt nicht an die Grenze, kehrt um! Schon wieder unverantwortl. #Willkommenspolitik-Signale. Schlepper &amp; Schleuser reiben sich die Hände. Und Länder wie #Griechenland haben die deutsche Politik satt bis an den Hals. #Merkel #Pistorius
https://t.co/EotA4lfcxF"
0;0;0;@KestnerJens @AfDimBundestag @AfD Der Stift liegt schon mal richtig. #Bundestag #Kanzlerwahl
47;6;0;8. 8chan, not the place you’d take your family for a picnic, yet there are Q decoders such as Praying Medic who will do this is a non sensational way so you can follow along. That said, the chans are a fierce bunch that an LARP would not be able to stand against for very long...
47;23;0;"Was zusammengehört: der kleine Kevin Gerne Groß und Mobbing-Kipping-Anti-#Wagenknecht diskutieren, wie man links weiter neoliberal transformieren &amp;ans Systemverkaufen kann, mehr Krieg, mehr Überwachung, EU-Diktatur, Ausbeutung, Armut &amp;alles als Orwells-Links verkauft - widerlich https://t.co/RTHSFINDOK"
0;0;1;@R_Feuerbach CDU-Konservative sind extrem vom gesellschaftspolitischen und medialen Prestige beeinflusst. Herr Höcke ist weitaus weniger ideologisch als so mancher WerteUnion-Freund, der Angst hat. Meine Voraussage: die CDU wird bald zur Wendehals-Partei. Das können CDUler wirklich gut.
7;3;3;@MalteKaufmann #Merkelmussweg , #CDU abwählen! #Grüne versenken. #FDP vergessen und die #CSU von Deppen bereinigen.
1;0;0;@Beatrix_vStorch schon komisch wie voll es da heute ist
10439;5961;0;"Lost in all this is that Flynn’s charges are rock solid confirmation that @realDonaldTrump was right. 

Obama was wiretapping Team Trump and most likely sharing the info with Team Hillary. 

There’s your collusion."
338;179;0;https://t.co/6ocjHfAJVc Die #Kanzlerin kondoliert #Trump, ansonsten ihr Erzfeind. Den Angehörigen der Opfer gelte Mitgefühl und Anteilnahme aller Deutschen. Für diese findet sie nach den #Attentaten_von_Frankfurt_und_Stuttgart indes #kein_Wort_des_Trostes aus ihrem Urlaub.
1000;340;0;Die Übergriffe zum Jahreswechsel zeigen, die Gefahr für die Innere Sicherheit geht vornehmlich von #Linksextremisten, Gruppen junger Männer mit Migrationshintergrund, islamischen Fanatikern und der #OK arabischer Großfamilien aus. Da hilft kein Schönreden. https://t.co/qTABOZLOf7
350;154;0;"""Lebenswerk"" eines Abtreibungsarztes: Mehrfach entzogene Lizenz, er macht dennoch weiter. ""Lebensbilanz"": Zehntausende von #Abtreibungen. Sein Nachlass: 2246 abgetriebene Kinder auf seinem Grundstück gefunden- darf man solche Menschen als krank bezeichnen? https://t.co/HsOWC8vwNv"
0;0;2;@RitterLaszlo @Martin_Sellner Ich steh' grad auf dem Schlauch. Ich hätte jetzt eher vermutet, daß Hellblau und Rot Staatsbürger anzeigt, Dunkelblau Ausländer.
0;0;0;"Hier noch der LINK zu diesem ""ungeheuerlichen"" Waffenfund in Nordhausen!!!
...

""Nach erster augenscheinlicher... http://t.co/PhQxw2AYlD"
1101;236;0;"Guten Morgen 🇩🇪! 
Der Rückzug von @AKK löst das Problem der @CDU nicht: Die Partei wurde von #Merkel komplett entkernt. Die CDU muss Merkel stürzen, sonst geht der Niedergang ungebremst weiter. Zeit für ein konstruktives Misstrauensvotum!
➡https://t.co/LPX6H9uDIq https://t.co/WKjytlXVkL"
0;0;0;"@EUTheurer Geschätzte Entwicklungskosten &lt;15 Mrd. US-$. Jährliche Betriebskosten im einstelligen Milliardenbereich."
0;0;0;@matz_peter @maxihome27 Laut Grundgesetz ist die aktuelle Massenmigration aus nicht angrenzenden Staaten illegal. Also falsch.
863;243;0;"Warum beobachtet #Verfassungsschutz nicht #Merkel, die nach wie vor ""Herrschaft des Unrechts"" an dt. Grenzen zulässt? Warum nicht #SPD in NRW, die gerade verfassungsfeindl. Antrag einbringen wollte?☝️Die Beobachtung von #AfD-Politikern ist pol. motiviert! 
https://t.co/HlBXVZd1Nw"
0;0;0;@SPOE_at SUPER!!! Jetzt werden die Wähler sicher wieder scharenweise von der FPÖ zur SPÖ zurückkehren!!!
2431;368;0;@realDonaldTrump Trump is simply an amazing president who is accomplishing things we never thought were possible. We must re-elect him in 2020 to continue on this fantastic path.
0;0;0;@WssupDock Played BF1 and thought it was historically accurate 😂😂😂
1936;532;0;Die Säuberung von unerwünschten  Elementen in der CDU geht weiter: Jetzt also die Werte-Union. Heil Dir,  Kanzlerin! Wir folgen Dir in den Untergang! https://t.co/9Wkej6HFL2
166;188;0;"Ich bin wirklich entsetzt! #Stürzi soll weggesperrt werden weil er sich unermüdlich auf friedlichen Demos und zum Wohle des deutschen Volkes um Aufklärung bemüht! #Deutschland, #Merkel &amp; Co: Schämt euch alle. 

#freeStürzenberger #JetztErstRecht

https://t.co/kSR77ApVBG"
20;10;0;"@IlhanMN You, Ilhan Omar, Rashida Tlaib, are #Islamists.

Your plan is to transform the United States, which you hate, from Freedom and Democracy to Sharia Law.

Because Leftists welcome your #Antisemitism, you're dangerous.

Honest, good, Pro-American #Immigrants are the opposite of you."
