likes,retweets,replys,text,likes2,retweets2,replys2,text2
"0,0,0,Aua-nun machen sie den Tweeter für einen Link vom BKA verantwortlich? Implizieren Sie immer sowas um Wahrheiten zu verdrängen?,1067,816,0,Das saudische Regime hat vor Loujain Alhathloul eine Frauenrechtsaktivisitin aus Saudi Arabien in den kommenden Tagen hinzurichten. Für Pseudofeministinnen die sich für das Kinderkopftuch einsetzen ist sie &amp; ihr Schicksal natürlich kein Thema das wäre nämlich ""islamophob""."
"0,0,0,Dann wird sich die Politik bald an solchen Umfragen orientieren gegen alle gegenteiligen Beteuerungen.,7219,2036,0,Ich wollte heute wissen: Warum ist die CDU-Vorsitzende AKK bei teils geheimen Sitzungen (zB ""Morgenlage"") im Kanzleramt dabei? Was berechtigt sie dazu wenn nur ""berechtigte"" Personen daran teilnehmen dürfen? Herr Seibert tat sein Bestes nicht für Transparenz zu sorgen..."
"1,0,0,Diese Stadt mit ihrem bescheuerten Bürgermeister ist nicht mehr zu helfen! Deswegen laßt euch von den Flüchtlingen ficken!,284,80,0,""Die Bauern haben von eurer Politik die Schnauze voll!"" sagt unser agrarpolitischer Sprecher Stephan @AfDProtschka &amp. fordert eine unbürokratische Unterstützung der Landwirte sowie ein Ende der Tiertransporte ins Ausland bei denen das Tierwohl nicht garantiert werden kann. #AfD"
0,0,0,Machtpoker mit Russland: Alien vs. Predator #Putin #Platzeck #Ukraine #Merkel,192,26,0,Warum Menschen zum Italiener essen gehen: Wegen des Essens. Warum Fler zum Italiener essen geht:
0,0,0,Und was macht man da so dagegen? Selbstverständlich! Eine Utopie umsetzen.#PopCornFestival,2780,692,0,Anders als Merkel die Große Vorsitzend deren Erfindung AKK ja ist hat letztere wengistens den Anstand zurückzutreten. AKKs Scheitern ist übrigens auch das Scheitern von Merkels Favoritin und damit auch Merkels Scheitern. Nur wird das wohl wieder geflissentlich übersehen.
0,4,0,Millennials sind keine Ökos sondern ärmer als ihre Eltern. DDR 2.0 + Roboter ist meine Diagnose. ,838,424,0,Bitte mitmachen+RT Mein Kumpel hat jetzt all seine #Groenemeyer LP`s bei E-Bay an Linke verhökert.. und das Geld der AfD gespendet.(gerade auf Facebook gefunden)
0,0,0,kritische Stimmen mag der Bodo nicht#BodoamBoden,427,95,0,D e r   M a n   w e i ß   s i c h   z u   h e l f e n ! Sein Tontauben-Wurfgerät ist kaputt.
0,0,0,Die CDU und SPD haben gar nichts aufgebaut. Allerhöchstens aufbauen lassen. Du hast leider noch gar nichts verstanden. Btw Er hat nicht für die Rechten Parteien propagiert. Du hast anscheinend auch nicht verstanden was Propaganda bedeutet.,254,146,0,Unsere Regierung ist auf das #Coronavirus bestens vorbereitet vor allem auf böse Corona-Nazis die Infizierte ausgrenzen wollen.
"45,25,8,#Dresden vor 75 Jahren: In der Nacht vom 13. auf den 14. Februar 1945 begannen alliierte Flugzeuge die sächsische Metropole zu bombardieren und zerstörten die Innenstadt weitgehend. Historische Bilder aus dem SZ-Archiv.,1198,419,0,""Merkel blockiert harte Grenzkontrollen"" titelt und zitiert dazu einen Spitzenbeamten : „Sie kämpft selbst bei dieser Epidemie noch um ihr Erbe als Kanzlerin der offenen Grenzen.“  Geht Ideologie und Machterhalt über Menschenleben?"
"0,0,0,Ein Afrikaner klärt die Deutschen über ihre kriminellen Gäste aus Nordafrika auf!!,1226,73,0,Jemand:""Du bist so ein Konsumopfer!""Ich:""Finde ich nicht!""Klopapier mit Lama-Motiv""Finde ich schon!"""
42,26,4,So liebevoll unsere Pflegestellen Da kann sich ein Mini-RUDI, der in Bucov irgendwann unter die Räder gekommen wäre doch so richtig wohlfühlen.RUDI sucht noch immer sein Zuhause:,831,427,0,Bitte anschauen:Über angebliche syrische Putzfrauen und versagende Leitmedien!#TrauDichDeutschland: #AfD
"0,0,0,So ist es im Grunde meint diese Else: ""Hosen runterlassen ist nun in Europa angesagt."",446,353,0,Den #Grünen kann die Flutung Deutschlands nicht schnell genug gehen: Sie fordern die ""verbindliche Umsetzung"" des #Migrationspakt noch bevor er unterschrieben ist!"
"0,1,1,Die Reaktionen zeigen nichts weiter als das großer Teil der Bevölkerung die Schnauze voll hat von perfider Hetze ala Chebli Stegner und Konsorten. Diskurs nicht möglich da sich alle feige verweigern. Da braucht man sich über derartige Reaktionen nicht wundern.,279,88,0,In #Thueringen werden derzeit ""Verabredungen"" zwischen Rot-Rot-Grün und CDU getroffen.Ich fühle mich irgendwie an mafiöse Zustände erinnert."
"0,34,0,Steuerzahlerfinanzierter abgehobener Journalist hetzt gegen Partizipation des Volkes das ihn finanziert. #DLF,328,135,0,Unter Juristen gelten #Staatsanwälte nicht als die Hellsten. Doch selbst Staatsanwälten dämmert mittlerweile:""Rechtsstaat ist nicht mehr funktionsfähig""""Die lachen uns aus.""Chapeau!#lanz"
0,26,0,Man wird diese Strukturen der #Stasi genauestens untersuchen-um sie dann zu übernehmen. Man wird sie ein wenig adaptieren damit sie zu einer freien westlichen Gesellschaft passen. Die Störer wird man nicht unbedingt verhaften aber brandmarken und ausgrenzen. #BärbelBoley,,,,
0,0,0,Was für eine Systemfrage stellt denn die AfD? Wenn dann will sie die Postdemokratie zugunsten echter Demokratie abschaffen.,,,,
1,0,0,Oooh man!!! Ja wir foltern ja auch unsere armen Kinder! Was seid ihr für ne Truppe! Warum sind eigentlich die Kinder der Muslime oft so brutal?? Da werden Schwestern getötet wegen der Familienehre usw. Was läuft da falsch?Schafft da mal Ordnung!,,,,
3,0,0,@SteinbachErika Sie hat ein Herz aus Stein.,,,,
1,0,0,@ndr Die sogenannten Aktivisten können auch gerne in die Krisengebiete fliegen und vor Ort Hilfe leisten aber da sind sie sich zu fein für. Immer von anderen vordern !!!,,,,
4,1,0,Genaueres könnte die Bevölkerung nur beunruhigen.,,,,
12,19,0,ZENSUR Twitter hat das Konto von @BreakingNLive gesperrt nachdem sie diesen Artikel gepostet hatten.,,,,
0,0,0,jen aka xPoison,,,,
0,0,0,#Lindnergate,,,,
14,0,0,@Ralf_Stegner Ähnlichkeiten zu den Zukunftsaussichten der SPD sind reiner Zufall!,,,,
1,3,0,Schreckliches Verbrechen? Leiche von vermisster Rentnerin in Keller gefunden,,,,
39,21,0,Anlächeln freundlich sein zu Kaffe einladen stimmt mehr Nazi geht nicht.- Und hier haben wir auch gleich eine deutliche Abgrenzung zu solchen Kommunisten Gesicht (lach) zur Faust geballt dogmatisch diskutieren und den Kaffee am beste selbst „saufen“.,,,,
"7,0,0,@tagesschau Wen meint dad Kind mit ""uns""? Ein Wochenende ohne Smartphone und Laptop und wir sprechen noch mal…,,,,"
3,1,1,@realDonaldTrump The google commercial made me cry!,,,,
80,66,14,Wer die #SPD wählt wählt Linksradikale!Der SPD-Bürgermeister von #Bremen Carsten #Sieling will nach der #Bürgerschaftswahl eine Koalition mit den Grünen und notfalls auch mit der linksradikalen SED- und Stasi-Partei DIE LINKE eingehen. ,,,,
"24,2,0,Ich freu mich schon richtig auf die ""Kramp-Karrenbauer-muss-weg!"" Rufe,,,,"
5,3,0,#futschi Die Rezession hat begonnen Merke es bei einem Logistik-Projekt derzeit extrem Metall- und Elektroindustrie in #BaWü produziert deutlich weniger! D.h. Deutlich weniger Fahrzeugteile gehen nach 🇮🇹 und deutlich weniger Schrott und Aluminiumreste fallen an,,,,
"0,0,0,Jeder der nicht deiner Meinung ist, ist automatisch ""rechtsradikal"". Ich habe das schon verstanden.,,,,"
7,1,0,Mal abwarten ob mich lieben Anhalter die liebe @Friedadiezweite und die liebe @Yuma_lein mitnehmen wenn sie vorbeifahren. #Luxemburg #Luxembourg,,,,
"2,0,2,@JoergRMayer @PatrickLenart @Eschentharrn @isabelledaniel @Becibaer @RoemeltA @StefanWeidenba1 @Martin_Sellner den ""absoluten Blödsinn"" kennen Sie ja gut.Und nein das Problem ist dass durch solcherlei die alte Lagerbildung und die alten Themen stabilisiert werden.Es gibt begrenzte Aufmerksamkeitsressourcen das sollten Sie bedenken,,,,"
0,0,0,Wenn dieser Herr schon absurderweise in ein Ministeramt gehoben wird sollte er durch diesen Schnellkurs wenigstens einen kleinen Eindruck von der Wirklichkeit bekommen die er so gern mit arroganten Sprüchen ignoriert.,,,,
0,0,0,Die beste Alltagshoelle in der wir je gelebt haben.,,,,
12,9,1,UNFASSBAR und total losgelöst der #Merkel Minister will Milliarden Euro unserer Steuern an die Griechen ausschütten. #SPD #Groko,,,,
1,0,0,Heisenbergsche Unschärferelation der Mond ist auch nicht da wenn man die Augen zu macht. ,,,,
0,0,1,Mit ihrem Bekenntnis zu @RT_Erdogan muss das @DFB_Team nun @MesutOzil1088 und @IlkayGuendogan ausschließen! Wir haben in #Deutschland keinen Platz für #Faschismus und #Islamismus!#DFB #OEzil #guendoğan #Erdogan #Tuerkei #Diktatur,,,,
14,5,0,Relektüre: Wolfgang Schivelbusch »Die Kultur der Niederlage« über Robert E. Lee als Opferlamm &amp Integrationsfigur.,,,,
35,29,0,Die frühere CDU-Abgeordnete Erika Steinbach unterstützt offenbar die AfD im Bundestagswahlkampf.,,,,
"3,0,0,@maischberger @RogerKoeppel Endlich sagt mal einer wie es wirklich mit den deutschen ""Medien"" ausschaut !!!,,,,"
9,12,0,Ich habe ja normalerweise meine Limits was für Verschwörungstheorien und Schmutzwerfnummern ich hier bringe…,,,,
0,0,0,Die Attacke in #Brüssel wird die Freude bei der @cducsubt und @petertauber doch sicher nicht schmälern.#Türkei #Erdogan #CSU #SPD #CDU,,,,
3,4,0,Mann ist das spannend! In einer Stunde gibt es einen historischen Moment - den Einzug der #AfD ins deu. Parlament. Gegen Islamisierung.,,,,
0,1,9, @tagesschau DRECK!,,,,
0,0,0,Aufruf zu eigenmächtiger Aufnahme von Migranten ist verantwortungslos -,,,,
0,0,0,@BILD Die grössten Hacker in dieser Welt sind und bleiben CIA + NSA + MI6 der chinesische Militärnachrichtendienst Zhong Chan Er Gu,,,,
0,0,0,@AfDimBundestag @AfD Der Stift liegt schon mal richtig. #Bundestag #Kanzlerwahl,,,,
47,6,0,8chan not the place you’d take your family for a picnic yet there are Q decoders such as Praying Medic who will do this is a non sensational way so you can follow along. That said the chans are a fierce bunch that an LARP would not be able to stand against for very long...,,,,
47,23,0,Was zusammengehört: der kleine Kevin Gerne Groß und Mobbing-Kipping-Anti-#Wagenknecht diskutieren wie man links weiter neoliberal transformieren Systemverkaufen kann mehr Krieg mehr Überwachung EU-Diktatur Ausbeutung Armut alles als Orwells-Links verkauft - widerlich,,,,
0,0,1,@R_Feuerbach CDU-Konservative sind extrem vom gesellschaftspolitischen und medialen Prestige beeinflusst. Herr Höcke ist weitaus weniger ideologisch als so mancher WerteUnion-Freund der Angst hat. Meine Voraussage: die CDU wird bald zur Wendehals-Partei. Das können CDUler wirklich gut.,,,,
7,3,3,@MalteKaufmann #Merkelmussweg #CDU abwählen! #Grüne versenken. #FDP vergessen und die #CSU von Deppen bereinigen.,,,,
1,0,0,@Beatrix_vStorch schon komisch wie voll es da heute ist,,,,
0,0,2,@RitterLaszlo @Martin_Sellner Ich steh' grad auf dem Schlauch. Ich hätte jetzt eher vermutet daß Hellblau und Rot Staatsbürger anzeigt. Dunkelblau Ausländer.,,,,
"0,0,0,Hier noch der LINK zu diesem ""ungeheuerlichen"" Waffenfund in Nordhausen!!!...""Nach erster augenscheinlicher…,,,,"
0,0,0,@EUTheurer Geschätzte Entwicklungskosten 15 Mrd. US-$. Jährliche Betriebskosten im einstelligen Milliardenbereich.,,,,
0,0,0,Laut Grundgesetz ist die aktuelle Massenmigration aus nicht angrenzenden Staaten illegal. Also falsch.,,,,
0,0,0,@SPOE_at SUPER!!! Jetzt werden die Wähler sicher wieder scharenweise von der FPÖ zur SPÖ zurückkehren!!!,,,,
0,0,0,@WssupDock Played BF1 and thought it was historically accurate,,,,
